"Site ID","Post ID",Title,Location,Type,"Post Name","Post Status"
1,43958,"King and the Sting",https://shipstation.com/promos/king-and-the-sting/,promos,king-and-the-sting,publish
1,43959,BertCast,https://shipstation.com/promos/bertcast/,promos,bertcast,publish
1,43960,Tofop,https://shipstation.com/promos/tofop/,promos,tofop,publish
1,43961,Human/Ordinary,https://shipstation.com/promos/human-ordinary/,promos,human-ordinary,publish
1,43962,TigerBelly,https://shipstation.com/promos/tigerbelly/,promos,tigerbelly,publish
1,43963,"On Purpose",https://shipstation.com/promos/on-purpose/,promos,on-purpose,publish
1,43964,Radio,https://shipstation.com/promos/radio/,promos,radio,publish
1,43965,"ESPN Radio",https://shipstation.com/promos/espn-radio/,promos,espn-radio,publish
1,43966,"Canada Laughs",https://shipstation.com/promos/canada-laughs/,promos,canada-laughs,publish
1,43967,"SiriusXM Stars",https://shipstation.com/promos/siriusxm-stars/,promos,siriusxm-stars,publish
1,43968,"SiriusXM Raw Dog Comedy",https://shipstation.com/promos/siriusxm-raw-dog-comedy/,promos,siriusxm-raw-dog-comedy,publish
1,43969,"SiriusXM MLB Network Radio",https://shipstation.com/promos/siriusxm-mlb-network-radio/,promos,siriusxm-mlb-network-radio,publish
1,43970,"SiriusXM NBA Radio",https://shipstation.com/promos/siriusxm-nba-radio/,promos,siriusxm-nba-radio,publish
1,43971,"SiriusXM Progress",https://shipstation.com/promos/siriusxm-progress/,promos,siriusxm-progress,publish
1,43972,Podcast,https://shipstation.com/promos/podcast/,promos,podcast,publish
1,43973,"The Shrink Next Door",https://shipstation.com/promos/the-shrink-next-door/,promos,the-shrink-next-door,publish
1,43974,Beawcast,https://shipstation.com/promos/beawcast/,promos,beawcast,publish
1,43975,"SAP Business Exchange",https://shipstation.com/promos/sap-business-exchange/,promos,sap-business-exchange,publish
1,43976,"Blue Wire",https://shipstation.com/promos/blue-wire/,promos,blue-wire,publish
1,43977,"Crime Junkie",https://shipstation.com/promos/crime-junkie/,promos,crime-junkie,publish
1,43978,"Gangster Capitalism",https://shipstation.com/promos/gangster-capitalism/,promos,gangster-capitalism,publish
1,43979,Cold's,https://shipstation.com/promos/colds/,promos,colds,publish
1,43980,"Generation Why Listener",https://shipstation.com/promos/generation-why-listener/,promos,generation-why-listener,publish
1,43981,"Dr. Death",https://shipstation.com/promos/dr-death/,promos,dr-death,publish
1,43982,"Righteous and Ratchet",https://shipstation.com/promos/righteous-and-ratchet/,promos,righteous-and-ratchet,publish
1,43983,"The Viall Files",https://shipstation.com/promos/the-viall-files/,promos,the-viall-files,publish
1,43984,"Congratulations with Chris D'Elia",https://shipstation.com/promos/congratulations-with-chris-delia/,promos,congratulations-with-chris-delia,publish
1,43985,"The Love Hour",https://shipstation.com/promos/the-love-hour/,promos,the-love-hour,publish
1,43986,"Chris Distefano",https://shipstation.com/promos/chris-distefano/,promos,chris-distefano,publish
1,43987,"Your 2 Dads",https://shipstation.com/promos/your-2-dads/,promos,your-2-dads,publish
1,43988,"The Ballad of Billy Balls",https://shipstation.com/promos/the-ballad-of-billy-balls/,promos,the-ballad-of-billy-balls,publish
1,43989,"What the Eff",https://shipstation.com/promos/what-the-eff/,promos,what-the-eff,publish
1,43990,"Fans and Followers of IRCE",https://shipstation.com/promos/fans-and-followers-of-irce/,promos,fans-and-followers-of-irce,publish
1,43991,"Hot Boxin with Mike Tyson",https://shipstation.com/promos/hot-boxin-with-mike-tyson/,promos,hot-boxin-with-mike-tyson,publish
1,43992,"How Men Think",https://shipstation.com/promos/how-men-think/,promos,how-men-think,publish
1,43993,"Waveform with Marques Brownlee",https://shipstation.com/promos/waveform-with-marques-brownlee/,promos,waveform-with-marques-brownlee,publish
1,43994,"This Past Weekend",https://shipstation.com/promos/this-past-weekend/,promos,this-past-weekend,publish
1,43995,"Land of the Giants",https://shipstation.com/promos/land-of-the-giants/,promos,land-of-the-giants,publish
1,43996,Smoshcast,https://shipstation.com/promos/smoshcast/,promos,smoshcast,publish
1,43997,"The TryPod",https://shipstation.com/promos/the-trypod/,promos,the-trypod,publish
1,43998,"Bunny Ears",https://shipstation.com/promos/bunny-ears/,promos,bunny-ears,publish
1,43999,"Fighter and the Kid",https://shipstation.com/promos/fighter-and-the-kid/,promos,fighter-and-the-kid,publish
1,44000,"Sh*t They Don't Tell You",https://shipstation.com/promos/sht-they-dont-tell-you/,promos,sht-they-dont-tell-you,publish
1,44001,"Smart People",https://shipstation.com/promos/smart-people/,promos,smart-people,publish
1,44002,"Who?? Weekly",https://shipstation.com/promos/who-weekly/,promos,who-weekly,publish
1,44003,"Tech Newsday",https://shipstation.com/promos/tech-newsday/,promos,tech-newsday,publish
1,44004,Social,https://shipstation.com/promos/social/,promos,social,publish
1,44005,"Catalyst 2015",https://shipstation.com/promos/catalyst-2015/,promos,catalyst-2015,publish
1,44006,"SXSW 2014",https://shipstation.com/promos/sxsw-2014/,promos,sxsw-2014,publish
1,44007,"eBay Radio",https://shipstation.com/promos/ebay-radio/,promos,ebay-radio,publish
1,44008,Volusion,https://shipstation.com/promos/volusion/,promos,volusion,publish
1,44009,"SXSW Raffle",https://shipstation.com/promos/sxsw-raffle/,promos,sxsw-raffle,publish
1,44010,Opensky,https://shipstation.com/promos/opensky/,promos,opensky,publish
1,44011,"Shopify's App Week",https://shipstation.com/promos/shopifys-app-week/,promos,shopifys-app-week,publish
1,44012,"Webmaster Radio",https://shipstation.com/promos/webmaster-radio/,promos,webmaster-radio,publish
1,44013,"Magento Imagine 2014",https://shipstation.com/promos/magento-imagine-2014/,promos,magento-imagine-2014,publish
1,44014,Reverb,https://shipstation.com/promos/reverb/,promos,reverb,publish
1,44015,"Northern Grade 2014",https://shipstation.com/promos/northern-grade-2014/,promos,northern-grade-2014,publish
1,44016,"LemonStand Cloud",https://shipstation.com/promos/lemonstand-cloud/,promos,lemonstand-cloud,publish
